Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1047058.4","Marinimicrobia bacterium JGI 0000039-O11",,1047058,"WGS","JGI 0000039-O11",,,,,,,,"2013-05-29T00:00:00Z","23851394","PRJNA192297","SAMN02440399","GCA_000403095.1",,"AQSX01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,75,828046,47.019283,753,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:21:30.346Z","2019-07-18T18:21:30.346Z"
"1047059.4","Marinimicrobia bacterium JGI 0000059-D20",,1047059,"WGS","JGI 0000059-D20",,,,,,,,"2013-05-29T00:00:00Z","23851394","PRJNA192316","SAMN02441404","GCA_000402135.1",,"AQSS01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,34,772719,47.72014,718,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:21:09.666Z","2019-07-18T18:21:09.666Z"
"1047060.4","Marinimicrobia bacterium JGI 0000059-E23",,1047060,"WGS","JGI 0000059-E23",,,,,,,,"2013-05-29T00:00:00Z","23851394","PRJNA192317","SAMN02440396","GCA_000402155.1",,"AQSR01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,41,618060,47.284214,595,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:21:30.598Z","2019-07-18T18:21:30.598Z"
"1047061.4","Marinimicrobia bacterium JGI 0000059-L03",,1047061,"WGS","JGI 0000059-L03",,,,,,,,"2013-04-15T00:00:00Z","23851394","PRJNA192321","SAMN02441408","GCA_000365325.1",,"AQPI01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,41,597650,47.77442,598,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:22:04.301Z","2019-07-18T18:22:04.301Z"
"1047063.4","WS1 bacterium JGI 0000059-K21",,1047063,"WGS","JGI 0000059-K21",,,,,,,,"2013-05-16T00:00:00Z","23851394","PRJNA192320","SAMN02440952","GCA_000398605.1",,"ASMA01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,54,509551,64.5833,424,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:21:51.599Z","2019-07-18T18:21:51.599Z"
"1047069.4","Cloacimonetes bacterium JGI 0000039-A21",,1047069,"WGS","JGI 0000039-A21",,,,,,,,"2013-04-23T00:00:00Z","23851394","PRJNA192290","SAMN02441046","GCA_000380745.1",,"AQYO01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,67,633964,37.473923,603,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:22:03.069Z","2019-07-18T18:22:03.069Z"
"1047070.4","Cloacimonetes bacterium JGI 0000039-G13",,1047070,"WGS","JGI 0000039-G13",,,,,,,,"2013-04-23T00:00:00Z","23851394","PRJNA192293","SAMN02440422","GCA_000380765.1",,"AQYP01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,132,1885081,37.78067,1784,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:22:45.961Z","2019-07-18T18:22:45.961Z"
"1047073.4","Cloacimonetes bacterium JGI 0000039-I17",,1047073,"WGS","JGI 0000039-I17",,,,,,,,"2013-05-16T00:00:00Z","23851394","PRJNA192294","SAMN02441279","GCA_000398645.1",,"ASMC01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,33,327619,37.779453,328,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:22:04.493Z","2019-07-18T18:22:04.493Z"
"1047076.4","Cloacimonetes bacterium JGI 0000039-M09",,1047076,"WGS","JGI 0000039-M09",,,,,,,,"2013-05-16T00:00:00Z","23851394","PRJNA192296","SAMN02440953","GCA_000398665.1",,"ASMD01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,44,516961,37.40705,497,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:22:14.116Z","2019-07-18T18:22:14.116Z"
"1047078.4","Cloacimonetes bacterium JGI 0000059-F17",,1047078,"WGS","JGI 0000059-F17",,,,,,,,"2013-05-16T00:00:00Z","23851394","PRJNA192318","SAMN02441612","GCA_000398685.1",,"ASME01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,25,360882,37.955975,330,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:22:20.295Z","2019-07-18T18:22:20.295Z"
"1047079.4","Cloacimonetes bacterium JGI 0000059-L07",,1047079,"WGS","JGI 0000059-L07",,,,,,,,"2013-05-16T00:00:00Z","23851394","PRJNA192322","SAMN02441280","GCA_000398705.1",,"ASMF01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,50,712610,37.44985,663,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:22:44.603Z","2019-07-18T18:22:44.603Z"
"1047080.4","Cloacimonetes bacterium JGI 0000059-P03",,1047080,"WGS","JGI 0000059-P03",,,,,,,,"2013-05-16T00:00:00Z","23851394","PRJNA192412","SAMN02440938","GCA_000398725.1",,"ASMG01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,29,506680,37.56612,493,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:22:46.733Z","2019-07-18T18:22:46.733Z"
"1047081.4","Cloacimonetes bacterium JGI 0000059-P11",,1047081,"WGS","JGI 0000059-P11",,,,,,,,"2013-05-16T00:00:00Z","23851394","PRJNA192413","SAMN02440939","GCA_000398745.1",,"ASMH01000000",,"DOE Joint Genome Institute",,"Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,28,385079,37.544025,407,,,"wastewater",,,,"USA",,,,,,,,,,,,,,,,,,,,,,,,,"Microbial Dark Matter project: Applying single-cell genomics, we targeted and sequenced uncultivated archaeal and bacterial cells from nine diverse habitats belonging to 28 major uncharted branches of the tree of life. With this genomic information, we could resolve numerous intra- and inter-phylum level relationships and discovered unexpected metabolic features that extend our understanding of biology and challenge established boundaries between the three domains of life.",,,,,,,"Good","2019-07-18T18:22:45.516Z","2019-07-18T18:22:45.516Z"
"1069631.3","Alcaligenes sp. HPC1271","Alcaligenes sp. HPC1271",1069631,"WGS","HPC1271",,,,,," ",,"2012-11-21T00:00:00Z","23469352","PRJNA175407","SAMN02470625","GCA_000313875.1",,"AMXV00000000","-","National Environmental Engineering Research Institute","WGS","IonTorrent","50x","MIRA v. 3.4.0",,,78,4270933,56.58,4486,3834,,"activated biomass of an effluent treatment plant treating industrial wastewater","bacterial isolate demonstrating antimicrobial activity against multi-drug resistant bacteria","2009","India","India",,,,,,,,,,,,,,,,,,,,,,,,,"This bacteria demonstrates antimicrobial properties against multi-drug resistant bacteria. Hence, the genome was sequenced to explore possible novel antibiotic producing genes.;many frameshifted proteins",,95.3,88.4,100,12.8,,"Good","2014-12-08T22:09:57.010Z","2015-03-16T03:17:09.594Z"
"1118963.3","Arthrobacter sp. Rue61a","Arthrobacter sp. Rue61a",1118963,"Complete","Rue61a",,,,,,,,"2007-05-02T00:00:00Z",,"PRJNA78011","SAMN02603270","GCA_000294695.2",,"CP003203.1,CP003204.1,CP003205.1","NC_018531.1,NC_018532.1","Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory","complete",,,,1,2,3,5081038,62.2324,4826,4575,,"sludge of the biological wastewater treatment plant of a coal tar refining company, based on its ability to utilize quinaldine (2-methylquinoline) as source of carbon and energy","isolated from sludge of the biological wastewater treatment plant of a coal tar refining company, based on its ability to utilize quinaldine (2-methylquinoline) as source of carbon and energy",,,,,,,,,,,,,,,,,,,,,,,,,,,,"'Bacteria of the genus Arthrobacter are ubiquitous in the environment. They are characterized by nutritional versatility and pronounced resistance to desiccation, long-term starvation, toxic compounds, oxidative stress, and other environmental stress conditions. Arthrobacter nitroguajacolicus strain R?_61a was previously isolated from sludge of the biological wastewater treatment plant of a coal tar refining company, based on its ability to utilize quinaldine (2-methylquinoline) as source of carbon and energy. The genome sequence provides insight into the full catabolic potential of Arthrobacter nitroguajacolicus R?_61a, and contributes to a better understanding of the molecular basis of the versatility and robustness of the genus Arthrobacter.'",,99.1,96.9,100,0.5,,"Good","2014-12-08T22:10:08.716Z","2015-03-16T03:17:09.594Z"
"1119533.4","Marinobacter sp. P4B1",,1119533,"WGS","P4B1",,,,,,,,"2015-11-20T00:00:00Z",,"PRJNA299400","SAMN04201528","GCF_001447135.1",,"LLXM01000000",,"University of Houston",,"Illumina HiSeq","1348x","ABySS v. 1.5.2",,1,15,3740877,58.3,3480,3373,,"NP30 nitrate/perchlorate-reducing mixed microbial culture","isolated from a mixed microbial culture used for wastewater decontamination","2012-07","Canada","Canada: University of British Columbia, pilot reactor for wastewater decontamination",,,,,,,,,,,,,,,,,,,,"C",,,,,"Marinobacter sp. P4B1 is a salt-tolerant perchlorate-reducing bacterial strain isolated from a mixed microbial culture used for wastewater decontamination. The strain is capable to generate electric current when used as a component of a microbial fuel cell. Marinobacter sp. P4B1 genome sequencing aims to provide insights into genetics of electrogenic and perchlorate-degrading properties of this strain.","sample_type:mixed microbial culture derived from a marine sediment;biomaterial_provider:Deborah J. Roberts, University of British Columbia, Kelowna, BC, Canada;collected_by:Yeyuan Xiao",98.2,97.5,100,,,"Good","2016-01-17T17:48:59.830Z","2016-01-17T17:48:59.830Z"
"1120925.4","Acinetobacter bouvetii DSM 14964 = CIP 107468 [PRJNA199256]","Acinetobacter bouvetii DSM 14964 = CIP 107468",1120925,"WGS","DSM 14964",,,,,,,"Yes","2013-04-19T00:00:00Z",,"PRJNA169762","SAMN02441705","GCA_000373725.1","SRR3947682","AREL00000000","-","DOE Joint Genome Institute","WGS","Illumina","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,20,3356325,45,3372,,,"Wastewater treatment plant",,,"Australia","Australia",,,,,,,,,,,,,,,"Negative","Rod-shaped","Nonmotile",,,,,,"Sludge; Host",,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG) project",,97.7,97,100,,,"Good","2014-12-08T22:09:39.438Z","2015-03-16T03:17:09.594Z"
"1120928.3","Acinetobacter tjernbergiae DSM 14971 = CIP 107465","Acinetobacter tjernbergiae DSM 14971 = CIP 107465",1120928,"WGS","DSM 14971",,,,,"rpob:EU477153;16s rrna:AF509825","DSM Z","Yes","2013-04-19T00:00:00Z",,"PRJNA174971","SAMN02440441","GCA_000374425.1",,"AYEV","-","DOE Joint Genome Institute","WGS","Illumina HiSeq 2000","Unknown","Velvet v. 1.1.04; ALLPATHS v. R37654",,,51,3692277,38.5,3514,,,"ctivated sludge plants in Victoria, Ausralia",,"1991","Australia","Australia: Victoria","-36.758106","144.283912",,,,,,,,,,,,,"Negative",,"Nonmotile",,"Mesophilic",,,"Aerobic","Sludge: wastewater",,"Genomic Encyclopedia of Type Strains, Phase I: one thousand microbial genomes (KMG) project. The goal of the Genomic Encyclopedia of Bacteria and Archaea (GEBA) initiative is to sequence genomes to fill phylogenetic gaps, generating reference genomes for every major and minor group of bacteria and archaea.  Currently sequenced genomes have provided highly uneven coverage of the type strain material present in public culture collections.  The Microbial Earth Project is an initiative of the Microbial Genomics Program of the DOE Joint Genome Institute that focuses on 1000 Type strains from the DSMZ and ATCC repositories.;Type strain","species identification method:DDH, AFLP, rpoB, phenotyping;references (selected):IJSEM (2003) 53:953-63.",98,97.3,100,,,"Good","2014-12-08T22:09:44.550Z","2015-03-16T03:17:09.594Z"
"1120962.3","Alcaligenes faecalis subsp. phenolicus DSM 16503","Alcaligenes faecalis subsp. phenolicus DSM 16503",1120962,"WGS","DSM 16503",,,,,,"DSM Z","Yes","2013-07-15T00:00:00Z",,"PRJNA185539","SAMN02441201","GCA_000429385.1",,"AUBT00000000","-","DOE Joint Genome Institute","WGS","Illumina HiSeq 2000","Unknown","Unknown program v. before 2013-04-09",,,29,4247680,56.4,3896,,,"Wastewater bioprocessor","solated from a continuous graywater bioprocessor operating in Johnson Space Center",,"United States","USA: Houston, TX","29.552031","-95.092092",,,,,,,,,,,,,"Negative",,,"Nonsporulating","Mesophile","30 C",,"Facultative","Wastewater",,"Genomic Encyclopedia of Type Strains, Phase I: one thousand microbial genomes (KMG) project. The goal of the Genomic Encyclopedia of Bacteria and Archaea (GEBA) initiative is to sequence genomes to fill phylogenetic gaps, generating reference genomes for every major and minor group of bacteria and archaea.  Currently sequenced genomes have provided highly uneven coverage of the type strain material present in public culture collections.  The Microbial Earth Project is an initiative of the Microbial Genomics Program of the DOE Joint Genome Institute that focuses on 1000 Type strains from the DSMZ and ATCC repositories.",,95.6,94.2,100,1.3,,"Good","2014-12-08T22:09:56.938Z","2015-03-16T03:17:09.594Z"
