genome_id,genome_name,organism_name,ncbi_taxon_id,genome_status,strain,serovar,biovar,pathovar,mlst,other_typing,culture_collection,type_strain,completion_date,publication,bio_project_accession,bio_sample_accession,assembly_accession,sra_accession,gen_bank_accessions,ref_seq_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosomes,plasmids,contigs,genome_length,gc_content,patric_cds,ref_seq_cds,isolation_site,isolation_source,isolation_comments,collection_date,isolation_country,geographic_location,latitude,longitude,altitude,depth,other_environmental,host_name,host_gender,host_age,host_health,body_sample_site,body_sample_subsite,other_clinical,anti_microbial_resistance,anti_microbial_resistance_evidence,gram_stain,cell_shape,motility,sporulation,temperature_range,optimal_temperature,salinity,oxygen_requirement,habitat,disease,comments,additional_metadata,coarse_consistency,fine_consistency,checkm_completeness,checkm_contamination,genome_quality_flags,genome_quality,date_inserted,date_modified
1118963.3,Arthrobacter sp. Rue61a,Arthrobacter sp. Rue61a,1118963,Complete,Rue61a,NA,NA,NA,NA,NA,NA,NA,2007-05-02T00:00:00Z,NA,PRJNA78011,SAMN02603270,GCA_000294695.2,NA,"CP003203.1,CP003204.1,CP003205.1","NC_018531.1,NC_018532.1","Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory",complete,NA,NA,NA,1,2,3,5081038,62.2324,4826,4575,NA,"sludge of the biological wastewater treatment plant of a coal tar refining company, based on its ability to utilize quinaldine (2-methylquinoline) as source of carbon and energy","isolated from sludge of the biological wastewater treatment plant of a coal tar refining company, based on its ability to utilize quinaldine (2-methylquinoline) as source of carbon and energy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'Bacteria of the genus Arthrobacter are ubiquitous in the environment. They are characterized by nutritional versatility and pronounced resistance to desiccation, long-term starvation, toxic compounds, oxidative stress, and other environmental stress conditions. Arthrobacter nitroguajacolicus strain R?_61a was previously isolated from sludge of the biological wastewater treatment plant of a coal tar refining company, based on its ability to utilize quinaldine (2-methylquinoline) as source of carbon and energy. The genome sequence provides insight into the full catabolic potential of Arthrobacter nitroguajacolicus R?_61a, and contributes to a better understanding of the molecular basis of the versatility and robustness of the genus Arthrobacter.'",NA,99.1,96.9,100,0.5,NA,Good,2014-12-08T22:10:08Z,2015-03-16T03:17:09Z
1806905.3,Arthrobacter sp. ZXY-2,NA,1806905,Complete,ZXY-2,NA,NA,NA,NA,NA,CGMCC:10937,NA,2016-10-26T00:00:00Z,NA,PRJNA341911,SAMN05730155,GCF_001854365.1,NA,"CP017421,CP017422,CP017423,CP017424,CP017425,CP017426","NZ_CP017421.1,NZ_CP017422.1,NZ_CP017423.1,NZ_CP017424.1,NZ_CP017425.1,NZ_CP017426.1",Harbin Institute of Technology,NA,PacBio RS II,269,HGAP3 v. 2016-07,1,5,6,5058708,63.32,4895,4906,NA,soil,"isolated from the industrial wastewater and soil, providing a maximum atrazine degradation efficiency of 12",2015,China,China: Jilin Pesticide Plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Atrazine was an environmentally ubiquitous organic herbicide and atrazine has been classified as one of the major toxicological contaminants requiring an increasing concern. Particularly, there is a need to focus on an efficient strategy for atrazine removal. Arthrobacter sp. ZXY-2 was isolated from the industrial wastewater and soil, providing a maximum atrazine degradation efficiency of 12.73mgL-1h-1. As a consequence, the high-efficiency ZXY-2 might be a considerable advancement on atrazine biodegradation and bioremediation in the natural environment. In order to deeply understand its biodegradation mechanism, a more thorough investigation such as genomic research is needed.",sample_type:whole organism,98.7,96.7,100,NA,NA,Good,2016-11-19T04:32:36Z,2016-11-19T04:32:36Z
2575923.3,Brevibacterium sp. CS2,NA,2575923,Complete,CS2,NA,NA,NA,NA,NA,NA,NA,2019-05-11T00:00:00Z,NA,PRJNA540762,SAMN11555161,GCA_005280295.1,NA,CP040020,NA,University of Copenhagen,NA,Illumina MiSeq; Oxford Nanopore MiniION,387.0x,Flye v. 2.4-release,1,NA,1,3239740,70.50711,3070,2856,NA,Industrial wastewater,NA,8/8/16,Pakistan,Pakistan:Kala Shah Kaku,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Full genome sequence of highly arsenic resistant bacterium Brevibacterium sp. AS2,sample_type:Wastewater,NA,NA,NA,NA,NA,Good,2019-07-21T02:05:05Z,2019-07-21T02:05:05Z
2026885.4,Candidatus Acetothermia bacterium Ran1 strain BARAN1 MAG,NA,2026885,Complete,BARAN1 MAG,NA,NA,NA,NA,NA,NA,NA,2018-06-17T00:00:00Z,NA,PRJEB22104,SAMEA4698766,GCA_900465355.1,NA,LS483254,NA,EMG,NA,NA,NA,NA,1,NA,1,1324338,68.209854,1308,1324,NA,the primary whole genome shotgun (WGS) data set: PRJEB22104,derived from the primary whole genome shotgun (WGS) data set: PRJEB22104,2016-03,NA,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The PRJEB22104 Third Party Annotation (TPA) fasta_path was derived from the primary whole genome shotgun (WGS) data set: PRJEB22104. This project includes samples from the following biomes: root:Engineered:Wastewater.,NA,NA,NA,NA,NA,NA,Good,2019-07-20T09:24:03Z,2019-07-20T09:24:03Z
456827.3,Candidatus Cloacamonas acidaminovorans,Candidatus Cloacamonas acidaminovorans,456827,Complete,NA,NA,NA,NA,NA,NA,NA,NA,NA,18245282,PRJNA62959,NA,NA,NA,NS_000195,NA,NA,NA,NA,NA,NA,1,NA,1,2246820,37.87,1841,1815,NA,"sludge, anaerobic mesophilic digester, municipal wastewater treatment plant",NA,2002,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,NA,100,99.9,98.7,NA,NA,Good,2014-12-08T22:10:48Z,2015-03-16T03:17:09Z
1802984.3,Candidatus Fokinia solitaria strain Rio ETE_ALG 3VII,NA,1802984,Complete,Rio ETE_ALG 3VII,NA,NA,NA,NA,NA,NA,NA,2018-04-25T00:00:00Z,29659807,PRJNA392593,SAMN07303433,GCA_003072485.1,NA,CP025989,NA,University of Milan,NA,Illumina HiSeq; PacBio,150.0x,SPAdes v. 3.9,1,NA,1,837348,35.787987,768,720,NA,wastewater treatment plant,NA,Feb-12,Brazil,Brazil: Rio de Janeiro,NA,NA,NA,NA,NA,Paramecium sp. Rio ETE_ALG 3VII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'Candidatus Fokinia solitaria', endosymbiont of Paramecium sp. Rio ETE_ALG 3VII, is a member of family of obligate intracellular bacteria 'Candidatus Midichloriaceae' (Rickettsiales) (Szokoli et al. 2016). Its genome sequencing was carried out in order to gain insights on evolutionary patterns and host interaction mechanisms.",sample_type:Cell culture (host),93.3,93.2,72.7,NA,NA,Good,2018-05-30T17:24:09Z,2018-05-30T17:24:09Z
1414854.3,Candidatus Nucleicultrix amoebiphila FS5 strain FS5,NA,1414854,Complete,FS5,NA,NA,NA,NA,NA,NA,NA,2017-05-02T00:00:00Z,NA,PRJNA251793,SAMN02840763,NA,NA,CP008743,NA,University of Vienna,NA,Illumina; PacBio,1700x,Spades v. 3.1,1,NA,1,1838212,39.72,1834,1455,NA,wastewater,NA,3/1/11,Germany,Germany: Hamburg,NA,NA,NA,NA,env_biome:wastewater,Hartmannella sp. FS5,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Coccobacilli,NA,NA,NA,NA,NA,Unknown,HostAssociated,NA,Endonuclear symbiont of Hartmannella sp. FS5,NA,94.4,94.2,80.6,1.2,NA,Good,2017-05-29T10:45:37Z,2017-05-29T10:45:37Z
1806508.3,Candidatus Promineofilum breve,NA,1806508,Complete,Cfx-K,NA,NA,NA,NA,NA,NA,NA,2017-08-18T00:00:00Z,NA,PRJEB11413,SAMEA3627641,GCA_900066015.1,NA,"LN890655,LN890656,LN890657",NA,"Department of Biotechnology, Chemistry and Environmental Engineering, Aalborg University",NA,NA,NA,NA,2,1,3,5033966,64.28,4519,4600,NA,Activated sludge biomass,NA,9/24/12,NA,NA,NA,NA,NA,NA,env_biome:Wastewater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Overgrowth of filamentous bacteria in activated sludge wastewater treatment plants (WWTPs) leads to impaired sludge settleability, a condition known as bulking, which is a common operational problem worldwide. Filaments with the Eikelboom 0092 morphotype are commonly associated with such bulking episodes. Members of the uncultured B45 phylotype, which is embraced within the phylum Chloroflexi, were recently shown to exhibit this morphology. Although these organisms are among the most abundant populations recorded in activated sludge processes, nothing is known about their metabolic characteristics. In this study, a genome sequence, representing the phylotype, was retrieved from a metagenome generated from an activated sludge WWTP plant. The genome consisted of two chromosomes and one plasmid, which were 4.0, 1.0, and 0.04 Mbps in size, respectively. A metabolic model was constructed for this organism, based on annotation of its genome, showing its ability to generate energy by aerobic respiration, utilizing oxygen, nitrite, or nitrous oxide as electron acceptors, or by fermentation of sugars. This model was validated partially in situ. The provisional name of Candidatus “Promineofilum breve” is proposed for this species. This study represents the first detailed information on an uncultured genus of filamentous organisms from activated sludge.",NA,93.4,91,98,5.9,NA,Good,2017-09-29T14:22:39Z,2017-09-29T14:22:39Z
1895828.3,Candidatus Saccharibacteria bacterium 47-87,NA,1895828,Complete,47-87,NA,NA,NA,NA,NA,NA,NA,2016-12-09T00:00:00Z,NA,PRJNA279279,SAMN05660531,GCA_001897305.1,NA,MKSO00000000,NA,"Banfield Lab, University of California, Berkeley",NA,Illumina HiSeq2500,10x,idba_ud v. 10.06.2014s,NA,NA,1,900471,46.59,924,894,NA,Ammonium sulfate bioreactor,NA,18-Feb-14,South Africa,South Africa: University of Cape Town,NA,NA,NA,NA,env_biome:Bioreactor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gold mining and other industrial activities make extensive use of cyanide (CN-) and produce large volumes of thiocyanate- (SCN-) contaminated wastewater that must be treated before reuse in mining processes. Furthermore, contaminated wastewater stored in tailings dams may pose an environmental threat through the potential for leakage into local groundwater. Microbial communities are often used for biodegradation and environmental remediation, however, little is known about the membership and metabolic potential of SCN-degrading consortia. Application and improvement of the remediation strategy will benefit from an understanding of organisms that can contribute to the breakdown of SCN- into sulfur, carbon and nitrogen compounds. To this end, we performed metagenomic analysis of samples from two laboratory-scale bioreactors used to study SCN- and CN- degradation by established microbial consortia. Community analysis revealed the dominance of Thiobacillus spp. whose genomes harbor a previously unreported operon for SCN- degradation. Metabolic predictions suggest that a large portion of each bioreactor community is autotrophic, relying not on molasses in reactor feed, but using energy gained from oxidation of the sulfur compounds produced during SCN- degradation. Heterotrophs compose a smaller portion of the reactor bacterial community, and predation by phage and eukaryotes is predicted to affect community dynamics. Furthermore, genes for ammonium oxidation and denitrification were detected, possibly allowing removal of nitrogen as required for complete remediation of wastewater. These findings suggest possible optimization strategies for reactor design such as improved aerobic/anaerobic partitioning and elimination of organic carbon from reactor feed.;derived from metagenome",sample_type:metagenomic assembly,95,94.8,82.1,1.5,NA,Good,2017-01-16T12:26:32Z,2017-01-16T12:26:32Z
1895829.3,Candidatus Saccharibacteria bacterium 49-20,NA,1895829,Complete,49-20,NA,NA,NA,NA,NA,NA,NA,2016-12-09T00:00:00Z,NA,PRJNA279279,SAMN05660530,GCA_001897295.1,NA,MKSN00000000,NA,"Banfield Lab, University of California, Berkeley",NA,Illumina HiSeq2500,10x,idba_ud v. 10.06.2014s,NA,NA,1,904897,49.49,933,909,NA,Thiocyanate stock biobioreactor,NA,29-Aug-13,South Africa,South Africa: University of Cape Town,NA,NA,NA,NA,env_biome:Bioreactor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gold mining and other industrial activities make extensive use of cyanide (CN-) and produce large volumes of thiocyanate- (SCN-) contaminated wastewater that must be treated before reuse in mining processes. Furthermore, contaminated wastewater stored in tailings dams may pose an environmental threat through the potential for leakage into local groundwater. Microbial communities are often used for biodegradation and environmental remediation, however, little is known about the membership and metabolic potential of SCN-degrading consortia. Application and improvement of the remediation strategy will benefit from an understanding of organisms that can contribute to the breakdown of SCN- into sulfur, carbon and nitrogen compounds. To this end, we performed metagenomic analysis of samples from two laboratory-scale bioreactors used to study SCN- and CN- degradation by established microbial consortia. Community analysis revealed the dominance of Thiobacillus spp. whose genomes harbor a previously unreported operon for SCN- degradation. Metabolic predictions suggest that a large portion of each bioreactor community is autotrophic, relying not on molasses in reactor feed, but using energy gained from oxidation of the sulfur compounds produced during SCN- degradation. Heterotrophs compose a smaller portion of the reactor bacterial community, and predation by phage and eukaryotes is predicted to affect community dynamics. Furthermore, genes for ammonium oxidation and denitrification were detected, possibly allowing removal of nitrogen as required for complete remediation of wastewater. These findings suggest possible optimization strategies for reactor design such as improved aerobic/anaerobic partitioning and elimination of organic carbon from reactor feed.;derived from metagenome",sample_type:metagenomic assembly,95.6,95.5,83.3,NA,NA,Good,2017-01-16T12:26:53Z,2017-01-16T12:26:53Z
69666.3,Caulobacter mirabilis strain FWC 38,NA,69666,Complete,FWC 38,NA,NA,NA,NA,NA,NA,NA,2017-11-03T00:00:00Z,NA,PRJNA415428,SAMN07822593,GCA_002749615.1,NA,CP024201,NA,The University of Chicago,NA,PacBio,303.5x,HGAP/Quiver v. 2.3,1,NA,1,4577265,69.32,4400,4288,NA,activated sludge from a Las Vegas sewage treatment facility,NA,1991,United States,USA: Nevada: Las Vegas,NA,NA,620 m,NA,env_biome:wastewater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The goal of this study was to sequence natural Caulobacter isolates for comparative genomics purposes.,sample_type:whole organism;biomaterial_provider:John Smit Lab;collected_by:MacRae and Smit;identified_by:Abraham et al.,97.4,95.6,100,1,NA,Good,2017-11-26T01:43:51Z,2017-11-26T01:43:51Z
546.272,Citrobacter freundii strain 705SK3,NA,546,Complete,705SK3,NA,NA,NA,NA,NA,NA,NA,2017-06-30T00:00:00Z,NA,PRJNA391280,SAMN07260758,NA,NA,"CP022151,CP022152,CP022153",NA,University of Zurich,NA,PacBio,109.0x,SMRTAnalysis v. 2.3,1,2,3,5602472,51.75,5744,5595,NA,wastewater,NA,Dec-15,Switzerland,Switzerland:Basel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Full genome sequencing of AMR enterobacteria isolated from food and the environment,sample_type:water,99.4,97.5,100,NA,NA,Good,2017-07-23T03:08:04Z,2017-07-23T03:08:04Z
546.583,Citrobacter freundii strain R17,NA,546,Complete,R17,NA,NA,NA,NA,NA,NA,NA,2019-01-23T00:00:00Z,NA,PRJNA515406,SAMN10754625,GCA_004103775.1,NA,"CP035276,CP035277",NA,Zhejiang Chinese Medical University,NA,PacBio RSII,297.0x,SPAdes v. OCT-2018,1,1,2,5331078,51.616673,5302,5146,NA,wastewater treatment plant,isolated from a wastewater treatment plant in China,2017,China,China: Taizhou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This is the genome of a opportunistic pathogen Citrobacter freundii strain R17 isolated from a wastewater treatment plant in China.,sample_type:cell culture,99.7,97.9,NA,NA,NA,Good,2019-07-14T11:32:17Z,2019-07-14T11:32:17Z
1920110.3,Citrobacter sp. CFNIH10,NA,1920110,Complete,CFNIH10,NA,NA,NA,MLST.Citrobacter_freundii.299,NA,NA,NA,2018-02-06T00:00:00Z,NA,PRJNA430813,SAMN06040393,GCA_002934585.1,NA,"CP026216,CP026212,CP026215,CP026214,CP026211,CP026210,CP026213",NA,NIH,NA,PacBio RSII,253x,HGAP v. 2.3,1,6,7,5738233,52.989502,5999,5817,NA,patients and hospital environment,isolated from patients and hospital environment,2016,United States,United States,NA,NA,NA,NA,env_biome:wastewater/sludge,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carbapenem Resistant Enterobacteriaceae strains including Klebsiella, Escherichia, Enterobacter, Citrobacter and Pantoea species isolated from patients and hospital environment.",NA,99.2,97.6,99.7,NA,NA,Good,2018-05-25T23:56:16Z,2018-05-25T23:56:16Z
