EC,description,uniprot,transferred,unspecific_ec
1.1.1.11,D-arabinitol 4-dehydrogenase.,O52720 P58708 P58709,FALSE,1.1.1
1.1.1.112,Indanol dehydrogenase.,Q04828 Q95JH7 Q95JH6 Q5REQ0 P42330 Q5R7C9,FALSE,1.1.1
1.1.1.12,L-arabinitol 4-dehydrogenase.,A2QAC0 Q763T4 Q96V44 Q7SI09 B6HI95 C5J3R8,FALSE,1.1.1
1.1.1.120,Galactose 1-dehydrogenase (NADP(+)).,Q53TZ2 O93715 P13203,FALSE,1.1.1
1.1.1.127,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase.,P50842 Q05528 P37769,FALSE,1.1.1
1.1.1.130,3-dehydro-L-gulonate 2-dehydrogenase.,A8ARG3 A7ZTC2 B7ULD6 B7MFE1 B7L6Z1 B7NP75 B7N223 B7M3J9 C4ZXG6 B1X8J1 A8A634 A1AHB7 Q0TBM6 Q8FCD6 B1IZL7 P37672 B7NEM8 B6I3E8 B1LJD7 Q1R519 B7LTI6 A5UIG1 P44995 Q93Q64 B5XMX0 Q65WJ9 Q9CLH5 B5EX79 B5FLE5 B5R4Q5 B4T959 B4SWL6 Q5PLN6 A9MUW2 C0Q1C9 B5BHV4 B4TZ64 Q8Z2C5 Q8ZL83 Q31V43 Q83PQ6,FALSE,1.1.1
1.1.1.132,GDP-mannose 6-dehydrogenase.,P51585 P11759 Q88NC4 O07299 Q887P8 P59793,FALSE,1.1.1
1.1.1.133,dTDP-4-dehydrorhamnose reductase.,Q9LQ04 O66251 Q2SYI1 P37760 Q46769 A0QTF8 P9WH08 P9WH09 P26392 P37778 P55463 P29781,FALSE,1.1.1
1.1.1.138,Mannitol 2-dehydrogenase (NADP(+)).,O93868 P0C0Y4 P0C0Y5 Q8NK50 O00058 Q6CEE9,FALSE,1.1.1
1.1.1.139,Transferred entry: 1.1.1.21,P21300 Q5RJP0 O08782 P45377 P16116 Q8SSK6 P23901 P15121 P45376 P80276 P15122 P07943 Q6IMN8 Q54NZ7 Q55FL3 P38715,TRUE,1.1.1
1.1.1.14,L-iditol 2-dehydrogenase.,P35497 Q07786 Q9FJ95 Q9Z9U1 Q06004 Q02912 Q58D31 P0DMQ6 Q00796 Q4R639 Q64442 Q29318 Q5R5F3 P27867 Q59787 P36624 P07846,FALSE,1.1.1
1.1.1.140,Sorbitol-6-phosphate 2-dehydrogenase.,P37079 P05707,FALSE,1.1.1
1.1.1.141,15-hydroxyprostaglandin dehydrogenase (NAD(+)).,Q3T0C2 P70684 P15428 Q8MJY8 Q8VCC1 O08699,FALSE,1.1.1
1.1.1.144,Perillyl-alcohol dehydrogenase.,H1ZV38 O85057,FALSE,1.1.1
1.1.1.145,3-beta-hydroxy-Delta(5)-steroid dehydrogenase.,P14060 P27365 Q60555 P24815 P22071 P26439 Q64421 P26149 P22072 P26150 Q62878 O35469 P14893 Q5IFP1 Q67477 O46516 P9WQP6 P9WQP7 Q9N119 O57245 P21097 P26670 Q89187,FALSE,1.1.1
1.1.1.146,11-beta-hydroxysteroid dehydrogenase.,Q6QLL4 P28845 Q6R0J2 P50172 Q7M3I4 P16232 Q29608 P51975 P0DKC5 P0DKC6,FALSE,1.1.1
1.1.1.149,20-alpha-hydroxysteroid dehydrogenase.,P35430 Q04828 Q95JH7 Q95JH6 Q5REQ0 Q8K023 P51652 P16116 P80508,FALSE,1.1.1
1.1.1.153,"Sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming).",Q17QK8 Q54GP3 P35270 Q8R536 Q64105 P18297 Q7ZY31 B0BML7,FALSE,1.1.1
1.1.1.155,Transferred entry: 1.1.1.87,Q58991 Q72IW9 Q5SIJ1 O14104 P40495,TRUE,1.1.1
1.1.1.156,Glycerol 2-dehydrogenase (NADP(+)).,P14065 Q0GYU4,FALSE,1.1.1
1.1.1.157,3-hydroxybutyryl-CoA dehydrogenase.,P9WNP6 P9WNP7 P45856 Q45223 P52041 P45364 P81343 Q9RVG1 P77851,FALSE,1.1.1
1.1.1.158,Transferred entry: 1.3.1.98,Q81WD1 Q732F9 Q819Q4 Q636B7 Q6HEQ5 Q8NTF4 Q67RL6 Q81XC5 Q72Y09 Q815R9 Q631P8 Q6HBI9 Q8NTB0 Q67Q47 B0CCD5 Q6FAZ1 B0VRK7 B0V744 A5FUL2 C4ZEG7 Q8UDN0 B9JH49 B9JY52 Q0VQP1 Q0A6K4 A6TVF6 A8MLW8 B3ETU4 B8J8F0 Q2IG34 A7HH69 B9KIR5 Q5PAK9 B4UES3 Q3MAP7 B7GGI1 O66805 Q5P3R2 A8HZA5 A1KBU9 Q5LBG5 Q64RZ8 Q9K9T1 Q65JX9 Q45305 A8FCY2 Q5WAV8 P18579 Q8A806 A7Z4E6 A1UTC3 Q6G2Q7 Q6G126 A9IWA3 P61433 B2IGG2 Q7VQF2 Q493L3 Q660S4 Q7WGH4 O51544 Q7W509 Q9X6Y8 Q89FU9 A5EPK0 A4YZK1 B2S6Q2 Q2YLY7 Q57C80 A9M688 C0RE68 Q8YI64 A5VRH5 B0CHL8 Q8FZP4 P57153 Q8KA63 P59450 B1YVE7 Q1BU59 B1JXG4 A0K9X7 Q0BCG5 Q39DI6 A9AGJ5 A3MHG6 A2S948 Q62M77 A1V1B7 A3NS80 Q3JVB9 A3N6J6 Q63WM3 Q2T0L2 A4JH86 B9MN03 Q8R8Z6 A4XIM9 Q9PM01 Q5HSB7 Q3AAE8 B0T826 Q9A5A7 B8H085 Q11GS7 A9WG69 Q5L5A3 B8G5Y4 Q822B0 Q255M5 Q9PL89 Q9Z6S1 B9LKI9 B0B960 B3QWU0 Q3KKK8 B0BAT9 P0CD77 Q7NXN4 Q97LP4 A7FYX2 C3KV11 A6M2Y4 B2UZY4 B2TQS2 A5I7A3 C1FMJ6 B1IFW4 A7GIX4 B1L271 B9DWV2 A5N360 A0PYB4 Q0TU88 Q8XNI0 Q0SW37 Q890Y6 A3DBM4 Q47UY2 P61434 A4QB37 Q4JSV7 B6J5K1 B6J2Q1 A9KER1 A9NA46 Q83F16 Q46XL1 Q6A6J8 Q47K28 Q1IXV7 Q9RWN8 Q313Q1 A8ZXW1 Q6AJ55 A4J2B3 Q728V0 A8LS61 Q8X711 Q8FB88 P08373 Q830P3 Q2NCY8 B1YJK3 A7HJQ1 A5FNG4 Q5NFD4 Q8RDQ3 B9M174 Q5L1H7 B3E3Y0 Q39YL7 P61435 A4ILI2 A5G8J8 Q7NI66 Q5FUJ3 Q0BV27 Q7VPJ2 Q4QNS0 P44605 Q7VJ12 B0TGC2 Q9ZJJ4 O25963 Q0C566 Q5QY76 Q28NP1 Q5FL42 Q03SJ8 Q1GB18 Q04BG3 B2GAN2 Q042G6 A8YUF1 Q74K66 Q9CGD5 A2RKV4 Q02Z11 A9KSS3 Q88YF4 A5VIJ8 B2G632 Q1WSZ5 Q38VZ2 Q5X1S7 A5IAW3 Q5ZSA6 Q5WTI8 Q6AH30 Q04VG7 Q04Y07 Q72MQ5 Q8EZC5 Q03VW0 Q92BT5 C1L2X6 Q71ZQ0 B8DE89 Q8Y776 A0AIM3 B9EAD2 A0L5M9 Q2W0H1 Q65WM5 Q0AMW9 B7KSC5 Q604V9 A9VWV7 B1ZGP6 Q2RK77 A0QLK9 P65461 A1KFV6 C1AKG0 A4T318 B8ZT90 Q9CB48 B2HQU8 Q73SU8 A0QQZ3 A3PU80 A1UAM4 Q1BEB0 A5TZL0 P9WJL8 P9WJL9 A0PVY7 Q1D0T2 Q5F9J9 A9M3P3 Q9JV28 Q9K016 Q0AJE3 Q82VS1 Q1QNU0 Q2Y640 Q3J791 Q3STS5 Q5YP42 B2J718 Q8YM74 Q2G993 Q8ESR4 A6WZQ8 A5CD21 B3CSQ9 A1BAL1 A7HVU9 B2JDU4 B2SY64 Q6MAQ1 Q13UR0 P57952 Q6DAP0 Q03GV3 Q3A2G8 A1AU59 A5D143 Q4FPK7 Q180P9 A9BJV3 B4RFG1 Q7MYE5 Q6LLV2 A4SVJ6 B2RJV4 Q7MUY2 A2C5M2 Q7VEJ2 Q7V9C4 Q7V3P9 Q46I41 Q48L51 Q15NN9 Q9HZM7 Q4KFT1 Q3IJU8 A8F4M2 Q3K8J6 Q88LM5 Q87YF8 Q4ZVY7 Q4FT57 Q1QAQ4 A5WDI5 Q8XWC4 B3PTV8 Q2K6C3 Q1ME35 Q98KB5 B5ZWJ2 Q92NM1 Q7UVF9 Q2IYK4 Q07PT0 P61616 Q211U0 Q133X3 B3QFM9 Q2RVU6 A3PHT1 Q3J4L9 A4WQD8 B9KNK2 A8GMP7 A8GW95 Q1RHX1 A8EXZ7 Q92IT8 Q4UKP0 A8F109 Q9ZDS7 C4K125 B0BWS1 A8GRC0 Q68XC1 Q163J3 Q1ASA8 Q5LU58 Q1GIU8 A4FQ15 A8LZF8 Q57H81 Q5PK78 Q8Z316 P37417 A9KW85 Q8EK85 A0KRK7 A8G1G4 Q0HNV5 Q0I0C3 Q31U21 Q32AE8 Q83PC7 Q3YV08 C3MEM7 A6UB83 Q01NJ5 Q1GRY1 A5VDC3 A7WZM9 A6TZL7 Q2FIQ3 Q2G069 A5IQU2 Q2YSJ1 Q5HHT2 A6QF47 P65462 P65463 Q6GIQ3 Q6GB92 A8Z012 P61431 P61432 B9DJN5 Q5HQZ1 Q8CPZ7 Q4L4G3 Q49VT7 Q3K0Y5 P65464 P65465 Q82DR4 Q9L0L7 C0MA63 A8AWE3 Q8DUF8 Q99ZS9 Q04JV9 P0DC48 B5E5P6 Q5XCA5 C1C7Z0 Q8P150 Q1JBV7 Q1JLT8 Q1JGY8 Q1J6Q7 A2REL5 B1ICI9 B8ZKN7 Q48TP5 P65466 P0DC49 B2IQK6 B5XLF2 P65467 A4W0S3 C0MEX9 A3CMQ6 A4VUI1 Q5LYN3 Q5M396 Q03JH0 B9DRZ6 C1CEX8 C1CL98 C1CQW7 Q2LR56 P95837 A0LNZ0 Q2JTH4 Q5MZH9 A5GHN8 Q7UA72 A5GPX0 Q0IE56 Q3ANM5 Q0AY75 P74529 Q8DLV6 Q47LH5 A6LN73 Q9X239 A5ILF5 B1LAW8 Q72JP7 Q5SJC8 Q3SMH1 Q73RJ5 O83128 Q83HA7 Q83FK5 A5F3P9 Q9KV40 Q5E225 Q87KP5 Q8DD33 Q7MGQ8 Q8D243 Q73HL4 B3CPS8 Q5GRK8 C0R2M2 Q8PLJ3 Q3BUJ8 Q4UTX4 B0RTS4 Q8P9R1 Q2P3M1 B2SLC0 Q5H0N1 B2I9T6 Q9PAE6 B0U5I2 Q87A76 Q8ZAN4 Q66FR3 Q9RNM8,TRUE,1.1.1
1.1.1.159,7-alpha-hydroxysteroid dehydrogenase.,P0AET9 P0AET8,FALSE,1.1.1
1.1.1.163,Cyclopentanol dehydrogenase.,Q8GAV9 Q937L4,FALSE,1.1.1
1.1.1.168,2-dehydropantolactone reductase (Re-specific).,Q76L37 Q76L36,FALSE,1.1.1
1.1.1.169,2-dehydropantoate 2-reductase.,O67619 F4KIN4 O28578 O34661 Q9ABG6 Q8XE72 P0A9J4 Q9HRF0 Q9CFY8 Q929X1 Q8Y5L2 P9WIL0 P9WIL1 Q8YX96 Q9HW09 Q9V0N0 Q8ZT70 O50098 Q987N5 Q8Z8W3 P37402 Q9HDU6 P0A9J5 P65666 P0DC92 Q5XCQ0 Q8P1F1 P0DC93 Q9KPQ9 P38787 Q8ZC51,FALSE,1.1.1
1.1.1.17,Mannitol-1-phosphate 5-dehydrogenase.,Q5E1G4 A3N2S7 B3H2M6 B0BRV5 A4SS45 A6RGF3 B6EN80 Q6UQ76 B7GJR4 A0K258 A1C6B4 B0XS99 Q4X1A4 A2QD49 Q8NJJ1 Q2U059 Q0CXS6 Q9K681 Q65NA1 A8F9Z9 Q5WDV0 P42957 A7Z1E8 C0Z8I6 B8D8D5 P57634 Q8K912 B8D892 Q89A37 Q8RCS0 Q2H2D7 O65992 Q1DP56 A7MNE5 A7ZTE9 B7ULF5 B7MFG0 B7L723 Q8XDG9 B5YW99 B7NPA3 B7N242 B7M3M7 C4ZXJ1 B1X8L4 A8A660 Q8FCB7 B1IZJ2 P09424 B7NEQ1 B6I3H6 B1LK35 Q5B0F5 P27543 B2VCH7 B1YHJ8 C4L274 Q5KYK6 Q45421 A4IPF0 B5XMV6 A6TFJ4 Q9XBM6 B3WBT3 Q9CJH1 A2RH97 Q033G3 Q033M9 Q88ZS1 Q1WRQ9 Q6AHH7 P0CT14 L7IBL2 Q65VJ3 P55800 P78008 Q98PH2 A1DGY9 Q7SA44 Q8EN87 A1RBC4 Q874B3 Q9CLY7 Q6DB14 C6DII4 B6HRL5 Q0U6E8 Q6LKE5 B2AND4 B8H7T9 A1SR48 B2WME4 B5EX99 B5FLG3 B5R5B9 B5RGJ1 B4T977 B4SX95 Q5PLR3 A9MVI4 B5BHX1 B4TZT8 Q8Z2E0 Q8ZL67 A7F8U1 A8G7U3 B2U5B1 Q31V29 Q83PQ0 Q3YVW2 Q2NX35 A7X522 A6U3N9 Q2FEX4 Q2FW96 A5IUU9 Q2YYE8 Q9RL68 A6QJ00 P63955 P99140 Q6GER8 Q6G7F3 A8YYC5 P63956 B9DM96 Q4L9Y4 Q49ZA6 Q02418 Q04M75 B5E7E0 C1C5D6 B1I9J3 B8ZLG6 Q97SH1 B2ILU3 Q8DR31 C1CCG5 B6QP49 B0KCW3 B0K280 C4L8P4 A5F155 A7MWS7 Q9KKQ6 C3LWV8 Q87SQ3 Q8DEF5 Q7MP60 A1JT46 A7FP92 Q1C3J5 B2K7G3 Q8Z9X0 A9R4F6 Q1CD89 A4TGP0 Q663V5 B1JH11,FALSE,1.1.1
1.1.1.170,3-beta-hydroxysteroid-4-alpha-carboxylate 3-dehydrogenase(decarboxylating).,O43050 P53199 Q9FX01 Q67ZE1 A9X4U2 Q3ZBE9 Q54L85 Q15738 Q9R1J0 Q5PPL3,FALSE,1.1.1
1.1.1.171,Transferred entry: 1.5.1.20,O67422 P57154 Q8KA62 Q89B13 P0AEZ1 P45208 Q9JZQ3 P71319 P11003 P0AEZ2 O54235 Q9SE60 Q9SE94 Q10258 P46151 O80585 O74927 P53128 Q5I598 Q17693 P42898 Q60HE5 Q9WU20 Q75HE6 O06745,TRUE,1.1.1
1.1.1.178,3-hydroxy-2-methylbutyryl-CoA dehydrogenase.,O02691 O18404 Q99714 O08756 O70351,FALSE,1.1.1
1.1.1.179,D-xylose 1-dehydrogenase (NADP(+)).,Q148L6 Q9TV68 Q642M9 Q9UQ10 Q9TQS6 Q7JK39 Q9DBB8 Q9TV69 Q5R5J5 Q9TV70 Q6DKE0 Q6DF30 Q5UY95 D4GP29 D4GP30 A0A024SMV2 Q8GAK6 Q9UT60,FALSE,1.1.1
1.1.1.18,Inositol 2-dehydrogenase.,A1T235 A1R665 A4FDY3 A1TC97 A1R674 A4FID1 A4FIQ1 A4FK61 A0LVX1 A5G0Y2 Q7CV90 A0JT53 C1DLA8 Q9KAH1 Q65D06 Q5WKY6 P26935 A7ZAH5 C5BYN4 B1YNW1 Q1BX00 B1K045 A0K6Q3 Q0BG57 Q39H98 A9ABZ7 A4JDP6 A4QAF9 Q8NTY7 A9BZG3 B2VJP4 A9H5B7 A6WFC5 B5Y2S5 A6THJ2 A5YBJ7 Q88S38 Q6AC27 A4T2N4 A0R191 A1B2N1 Q48GY3 B8HDD2 Q4KDI5 C3K9I8 Q87ZD5 Q4ZRC2 Q8XZZ9 A9WKW2 C0ZWI9 Q0SH07 A3PRX7 Q3IX44 B9KTD9 Q1AV95 B5F3F4 A9N564 Q8ZK57 A8GKW1 C3MH72 Q82NQ8 Q9X7U5 Q9WYP5 A1JSK7 O68965,FALSE,1.1.1
1.1.1.181,"Cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase.",Q9H2F3 Q9EQC1 O35048,FALSE,1.1.1
1.1.1.184,Carbonyl reductase (NADPH).,P74308 Q3SZD7 P16152 Q8MI29 P48758 Q28960 Q5RCU5 P47844 P47727 P08074 Q29529 O75828 Q8K354 Q8SPU8 G5EGA6 Q9BTZ2 Q99LB2 Q8WNV7 Q5RCF8 Q9GKX2 Q8VID1,FALSE,1.1.1
1.1.1.188,Prostaglandin-F synthase.,P42330 Q5R7C9 P05980 P52897,FALSE,1.1.1
1.1.1.189,Prostaglandin-E(2) 9-reductase.,Q3SZD7 P16152 Q8MI29 P48758 Q28960 Q5RCU5 P47844 P47727 P80508,FALSE,1.1.1
1.1.1.192,Long-chain-alcohol dehydrogenase.,A4IP64 A4ISB9,FALSE,1.1.1
1.1.1.193,5-amino-6-(5-phosphoribosylamino)uracil reductase.,P57534 Q8K9A3 P50853 O66534 P70814 P17618 Q89AB0 Q9PLJ6 Q9Z735 O84735 O24750 P25539 P44326 P9WPH0 P9WPH1 Q55158 Q9STY4 K7WIZ6,FALSE,1.1.1
1.1.1.194,Coniferyl-alcohol dehydrogenase.,Q93ZA3 O64743 P0DMP5,FALSE,1.1.1
1.1.1.195,Cinnamyl-alcohol dehydrogenase.,Q93ZA3 O64743 Q6ERX1 Q6ERW9 Q6ERW7 Q6ERW5 P42495 Q9CAI3 Q42726 Q2KNL5 Q8H859 P85913 P30359 Q9SJ25 P31655 Q6ZHS4 O82035 P85916 P30360 Q9SJ10 Q337Y2 P48523 Q2R114 O49482 Q0J6T3 O65621 Q7XWU3 Q02971 Q0JA75 Q08350 Q02972 P42734 Q10PS6 P50746 O64969 O22380 O24562 P31656 Q40976 P41637 P31657 O82056,FALSE,1.1.1
1.1.1.197,15-hydroxyprostaglandin dehydrogenase (NADP(+)).,Q3SZD7 P16152 Q8MI29 P48758 Q28960 Q5RCU5 P47844 P47727,FALSE,1.1.1
1.1.1.2,Alcohol dehydrogenase (NADP(+)).,Q6AZW2 Q568L5 Q24857 Q04894 P25377 O57380 Q9F282 P0CH36 P0CH37 P0A4X1 P9WQC4 P9WQC5 P27250 Q3ZCJ2 Q5ZK84 O70473 P14550 Q9JII6 P50578 Q5R5D5 P51635 Q6GMC7 Q28FD1 Q9UUN9 P27800 P75691,FALSE,1.1.1
1.1.1.202,"1,3-propanediol dehydrogenase.",P45513 Q59477,FALSE,1.1.1
1.1.1.203,Uronate dehydrogenase.,Q7CRQ0 Q88NN6 Q888H1,FALSE,1.1.1
1.1.1.204,Transferred entry: 1.17.1.4,Q8GUQ8 F4JLI5 O32147 Q8X6C7 Q46799 Q8X6C5 Q46800 O32145 O32144 O32143 R4ZGN4 P80457 P08793 P47990 Q54FB7 P10351 P22811 P91711 Q12553 Q9MYW6 P47989 Q00519 Q6AUV1 P22985 Q8X6J4 P77489 Q8X6J0 P77324,TRUE,1.1.1
1.1.1.205,IMP dehydrogenase.,P47996 A0JNA3 Q6GMG5 P20839 P50096 D3ZLZ7 F6S675 P39567 Q9SA34 Q3SWY3 P12269 B0UXP9 P12268 P24547 E9PU28 F7CYY5 P38697 Q5RGV1 P50095 P50094 P31002 O67820 Q4WHZ9 Q9KGN8 P21879 Q8G3N6 P49058 Q9GZH3 Q59Q46 O00086 O50316 Q8KCW4 Q5KP44 Q8T6T2 Q54QQ0 Q07152 P0ADG8 P0ADG7 P44334 Q9HQU4 Q9ZL14 P56088 B1L5U5 P21620 Q8F4Q4 Q59011 P65168 Q49729 P9WKI6 P9WKI7 Q7SFX7 A9A5Y7 Q9L6B7 Q12658 Q9UY49 P42851 O58045 Q9KH33 Q7UJL3 O14344 P0ADG9 Q2FJM6 Q2G0Y7 Q2YVL6 Q5HIQ7 P65169 P99106 Q6GJQ7 Q6GC82 Q8NY70 Q5HRX2 Q8CMQ7 Q4L385 Q49UU8 P0C0H7 P0DB88 Q5X9A3 P68839 P0DB89 P0C0H6 Q9HLK8 Q4VRV8 P50097 P50098 Q84XA3 Q0WD32 F1DBB2,FALSE,1.1.1
1.1.1.206,Tropinone reductase I.,A7DY56 P50162,FALSE,1.1.1
1.1.1.208,(+)-neomenthol dehydrogenase.,B2X050 Q9M2E2,FALSE,1.1.1
1.1.1.209,3(or 17)-alpha-hydroxysteroid dehydrogenase.,Q91WR5 Q6AYQ2,FALSE,1.1.1
1.1.1.21,Aldehyde reductase.,P21300 Q5RJP0 O08782 P45377 P16116 Q8SSK6 P23901 P15121 P45376 P80276 P15122 P07943 Q6IMN8 Q54NZ7 Q55FL3 P38715,FALSE,1.1.1
